ID,Character,English,English_IPA,Anzellan,Anzellan_IPA,Mixed_25,Mixed_25_IPA,Mixed_50,Mixed_50_IPA,Mixed_75,Mixed_75_IPA
jibu_guest_what_can_you_say,Jibu,Nobody want to hear from me...,ˈnobadi want tu ˈhii fwam mi...,Nie nipo miga hena mi a mi,nie̯ ˈnipo ˈmiɡa ˈhena mi a mi,"Nie miga mi, nobody listen","nie̯ ˈmiɡa mi, ˈnobadi ˈlisan",Nie gapa mi hena. Nobody listen.,nie̯ ˈɡapa mi ˈhena. ˈnobadi ˈlisan.,Nie miga nobody want hear me,nie̯ ˈmiɡa ˈnobadi want ˈhii mi
jibu_guest_you_look_realistic,Jibu,Jibu not sure if compliment.,ˈdʒibu nat ˈʃuu if ˈkamplament.,Jibu nie ga nipo ixena?,ˈdʒibu nie̯ ɡa ˈnipo ˈiʃena?,Nie ga-mi iko compliment,nie̯ ˈɡami ˈiko ˈkamplament,Bana-nie not sure,ˈbananie̯ nat ˈʃuu,Ni bocena Jibu not sure if compliment,ni ˈbokena ˈdʒibu nat ˈʃuu if ˈkamplament
jibu_guest_why_working_on_droids,Jibu,Fixing dwoids all Jibu good for.,ˈfiksin dwoi̯ds ol ˈdʒibu ɡud ˈfoo.,Ba moga da djoid da Jibu ixena a,ba ˈmoɡa da dʒoi̯d da ˈdʒibu ˈiʃena a,Ba moga da djoid po Jibu good for,ba ˈmoɡa da dʒoi̯d po ˈdʒibu ɡud ˈfoo,Ba moga da djoid Jibu good for,ba ˈmoɡa da dʒoi̯d ˈdʒibu ɡud ˈfoo,Ba-mo mi fix droids good for Jibu,ˈbamo mi fiks dwoi̯ds ɡud ˈfoo ˈdʒibu
jibu_guest_you_look_so_good,Jibu,Jibu like you too.,ˈdʒibu ˈlaik ˈiu tu.,Jibu ba miga mi ixena,ˈdʒibu ba ˈmiɡa mi ˈiʃena,Jibu ixa me too,ˈdʒibu ˈiʃa mi tu,Jibu ixena like you,ˈdʒibu ˈiʃena ˈlaik ˈiu,xa I like you too,ʃa ˈai ˈlaik ˈiu tu
jibu_guest_youre_so_small,Jibu,That not nice to say...,dat nat ˈnais tu sei̯...,Nie ked-ba nicena la,nie̯ ˈkedba ˈnikena la,Nie la pena nice.,nie̯ la ˈpena ˈnais.,Nie la bano now!,nie̯ la ˈbano ˈnau!,Nie ba la no nice to say,nie̯ ba la no ˈnais tu sei̯
jibu_guest_youre_so_tiny,Jibu,Jibu wish he grow more...,ˈdʒibu wiʃ hi ɡwo ˈmoo...,Jibu banada ipo be med,ˈdʒibu ˈbanada ˈipo be med,Jibu miga ba grow,ˈdʒibu ˈmiɡa ba ɡwo,Jibu bana mo grow more,ˈdʒibu ˈbana mo ɡwo ˈmoo,Jibu gami grow more,ˈdʒibu ˈɡami ɡwo ˈmoo
jibu_guest_the_force,Jibu,No no. We fixie dwoids.,no no. wi ˈfiksie̯ dwoi̯ds.,"Nie, nie. Med ba moga djoidad.","nie̯, nie̯. med ba ˈmoɡa ˈdʒoi̯dad.",Nie nie. Fixie dwoids.,nie̯ nie̯. ˈfiksie̯ dwoi̯ds.,Nie nie. We fixie dwoids.,nie̯ nie̯. wi ˈfiksie̯ dwoi̯ds.,Nie nie. We fixie dwoids.,nie̯ nie̯. wi ˈfiksie̯ dwoi̯ds.
jibu_guest_look_like_ewoks,Jibu,Dey scary. Jibu hide from dem.,dei̯ ˈskewi. ˈdʒibu ˈhaid fwam dem.,Da-mu xe. Jibu bano xina fa da-va,ˈdamu ʃe. ˈdʒibu ˈbano ˈʃina fa ˈdava,Da dine gapa! Jibu hide!,da ˈdain ˈɡapa! ˈdʒibu ˈhaid!,Da-dega boken! Jibu hide now,ˈdadeɡa ˈboken! ˈdʒibu ˈhaid ˈnau,Da waia. Jibu hide from dem.,da ˈwaia. ˈdʒibu ˈhaid fwam dem.
jibu_guest_is_that_c3po,Jibu,We find on Tatooine boken.,wi ˈfaind an ˈtatuin ˈboken.,Ga-mi a Tatooine boken,ˈɡami a taˈtooi̯ne ˈboken,Med ga a Tatooine boken!,med ɡa a taˈtooi̯ne ˈboken!,Med ba boken broken!,med ba ˈboken ˈbwokan!,Ga po-TATOOINE boken broken,ɡa potaˈtooi̯ne ˈboken ˈbwokan
jibu_guest_offers_to_help,Jibu,Me love help but boss say no.,mi lav help bat bas sei̯ no.,Mi gami bexame le la da bama nie!,mi ˈɡami ˈbeʃame le la da ˈbama nie̯!,"Mi bexame, boss say no.","mi ˈbeʃame, bas sei̯ no.","Mi ipo bexame, boss say no.","mi ˈipo ˈbeʃame, bas sei̯ no.",Mi bexamed but boss say no.,mi ˈbeʃamed bat bas sei̯ no.
jibu_guest_dont_make_me_leave,Jibu,Sowwy we gotta work.,ˈsowi wi ˈɡata wek.,"Kikamie, mi gami bexa.","ˈkikamie̯, mi ˈɡami ˈbeʃa.",Ga gami work,ɡa ˈɡami wek,Ba bexa sowwy gotta,ba ˈbeʃa ˈsowi ˈɡata,Ba work sowwy!,ba wek ˈsowi!
jibu_guest_somebodys_cranky,Jibu,Boss scary when cranky.,bas ˈskewi wen ˈkwanki.,Da boss xe ipo goda,da boss ʃe ˈipo ˈɡoda,Da bama goda! Scary!,da ˈbama ˈɡoda! ˈskewi!,Ipo goda boss scary,ˈipo ˈɡoda bas ˈskewi,Ked goda boss scary,ked ˈɡoda bas ˈskewi
jibu_guest_youre_rude,Jibu,Sowwy no mean rude.,ˈsowi no min wud.,Kikamie nie bana-nie,ˈkikamie̯ nie̯ ˈbananie̯,Nie bana-nie sowwy,nie̯ ˈbananie̯ ˈsowi,"Nie goda, sowwy no","nie̯ ˈɡoda, ˈsowi no",Ne no mean rude,ni no min wud
jibu_guest_theyre_ignoring_me,Jibu,Oh. My bad.,o. ˈmai bad.,Oh. Goda mi.,oh. ˈɡoda mi.,My godi.,ˈmai ˈɡodi.,"Oh, goda!","o, ˈɡoda!",Bada mi my bad!,ˈbada mi ˈmai bad!
jibu_guest_theyre_aliens,Jibu,We just different from you is all...,wi dʒast ˈdifeant fwam ˈiu is ol...,Ga-ni e dumad,ˈɡani e ˈdumad,"We different, med udu bana.","wi ˈdifeant, med ˈudu ˈbana.",Med ipo different. We just different.,med ˈipo ˈdifeant. wi dʒast ˈdifeant.,"Med nyu bada, we just different, is all","med ˈniu ˈbada, wi dʒast ˈdifeant, is ol"
jibu_guest_lightsabers,Jibu,Oh no. No likey lightsabers.,o no. no ˈlikei̯ laˈitsabews.,A-o. Nie pilaxi bedegua,ˈao. nie̯ ˈpilaʃi beˈdeɡua,Nixena meded! No likey.,ˈniʃena ˈmeded! no ˈlikei̯.,No likey! Nie ixena!,no ˈlikei̯! nie̯ ˈiʃena!,Nie pilaxi. No likey lightsaber!,nie̯ ˈpilaʃi. no ˈlikei̯ laˈitsabew!
jibu_guest_theyre_staring,Jibu,You so interesting!,ˈiu so ˈintwastin!,E-va mumuba ixena!,ˈeva ˈmumuba ˈiʃena!,E-va interesting!,ˈeva ˈintwastin!,E-va so interesting!,ˈeva so ˈintwastin!,E so interesting!,e so ˈintwastin!
jibu_guest_like_your_outfit,Jibu,Keep us safe from sparky sparky.,kip as sei̯f fwam ˈspaki ˈspaki.,Ba ba med-po xe xe fa nixetu-po!,ba ba ˈmedpo ʃe ʃe fa niˈʃetupo!,Nie ba nixetu! Keep safe!,nie̯ ba ˈniʃetu! kip sei̯f!,Nie ba moga sparky sparky!,nie̯ ba ˈmoɡa ˈspaki ˈspaki!,Nie ba pama mi sparky sparky safe,nie̯ ba ˈpama mi ˈspaki ˈspaki sei̯f
jibu_guest_like_your_hat,Jibu,Tank you. I didn't get to choose it.,tank ˈiu. ˈai ˈdidant ɡet tu tʃus it.,Degamie. Mi-ni bumani ipo miga bo pena da.,ˈdeɡamie̯. ˈmini ˈbumani ˈipo ˈmiɡa bo ˈpena da.,Degamie! I no choose!,ˈdeɡamie̯! ˈai no tʃus!,Degamie. I no get choose it.,ˈdeɡamie̯. ˈai no ɡet tʃus it.,Degamie. I no get to choose it.,ˈdeɡamie̯. ˈai no ɡet tu tʃus it.
jibu_guest_what_time_is_it,Jibu,Time to work work!,ˈtaim tu wek wek!,Bano a bexa bexa!,ˈbano a ˈbeʃa ˈbeʃa!,Bano a bexa! work,ˈbano a ˈbeʃa! wek,Bano a work work!,ˈbano a wek wek!,Bano work work!,ˈbano wek wek!
jibu_guest_im_hungry,Jibu,Jibu just ate so Jibu feel good!,ˈdʒibu dʒast ei̯t so ˈdʒibu fil ɡud!,"Jibu ga-no ipama, Jibu ipo ixena!","ˈdʒibu ˈɡano ˈipama, ˈdʒibu ˈipo ˈiʃena!",Da Jibu ipo ixena! Jibu eat!,da ˈdʒibu ˈipo ˈiʃena! ˈdʒibu it!,"Ga-no Jibu, Jibu feel good!","ˈɡano ˈdʒibu, ˈdʒibu fil ɡud!","Ga-no da Jibu Jibu just ate, feel good!","ˈɡano da ˈdʒibu ˈdʒibu dʒast ei̯t, fil ɡud!"
jibu_guest_my_feet_hurt,Jibu,My feeties hurt too.,ˈmai ˈfitie̯s het tu.,Ga godi mi xiba-po mumuba,ɡa ˈɡodi mi ˈʃibapo ˈmumuba,Da peded godi too,da ˈpeded ˈɡodi tu,Ipo godi udu! Feeties hurt.,ˈipo ˈɡodi ˈudu! ˈfitie̯s het.,Godi my feeties hurt,ˈɡodi ˈmai ˈfitie̯s het
jibu_guest_can_you_hear_me,Jibu,Ooh my ears...,u ˈmai is...,Ooh da hen-mi...,ˈooh da ˈhenmi...,Hen mi... Ooh,hen mi... u,Hen kido! My ears...,hen ˈkido! ˈmai is...,hen my ears...,hen ˈmai is...
jibu_guest_how_do_you_understand,Jibu,We hear!,wi ˈhii!,Hena mi!,ˈhena mi!,Hena med! Hear!,ˈhena med! ˈhii!,Ket hena! Hear!,ket ˈhena! ˈhii!,Med hear!,med ˈhii!
jibu_guest_how_speak_english,Jibu,We speaky so many languages!,wi ˈspiki so ˈmeni ˈlanɡwadʒas!,Ga ta pena-po-da pama mad us da djoid-d,ɡa ta peˈnapoda ˈpama mad us da dʒoi̯d.d,Mi la pena ud speaky!,mi la ˈpena ud ˈspiki!,La pena be ud! So many!,la ˈpena be ud! so ˈmeni!,Med speaky so many languages!,med ˈspiki so ˈmeni ˈlanɡwadʒas!
jibu_guest_why_are_they_arguing,Jibu,Sorry sorry hate when we fight.,ˈsawi ˈsawi hei̯t wen wi ˈfait.,Kikamie kikamie goda li ba-no med gomi,ˈkikamie̯ ˈkikamie̯ ˈɡoda li ˈbano med ˈɡomi,"Kikamie, kikamie, hate fight","ˈkikamie̯, ˈkikamie̯, hei̯t ˈfait","Kikamie, kikamie, hate when fight","ˈkikamie̯, ˈkikamie̯, hei̯t wen ˈfait","Kikamie, kikamie! Hate when we fight.","ˈkikamie̯, ˈkikamie̯! hei̯t wen wi ˈfait."
jibu_guest_what_happens_if_i_say_something,Jibu,You no care what I think...,ˈiu no ˈkee wat ˈai tink...,Nie pilaxi e ipo banada-mi,nie̯ ˈpilaʃi e ˈipo baˈnadami,"Nie pilaxi mi, you no!","nie̯ ˈpilaʃi mi, ˈiu no!",Nie pilaxi mi no care,nie̯ ˈpilaʃi mi no ˈkee,Nie pilaxi mi I no care,nie̯ ˈpilaʃi mi ˈai no ˈkee
jibu_guest_wonder_if_friends,Jibu,Jibu bad at making friends...,ˈdʒibu bad at ˈmei̯kin fwends...,Jibu ixena-nie ba bana,ˈdʒibu iˈʃenanie̯ ba ˈbana,Jibu bana-nie bad,ˈdʒibu ˈbananie̯ bad,Jibu bana-nie! Friends bad!,ˈdʒibu ˈbananie̯! fwends bad!,Ixena-nie Jibu bad at making friends,iˈʃenanie̯ ˈdʒibu bad at ˈmei̯kin fwends
jibu_guest_i_think_i_interrupted,Jibu,Oh you no bother. Jibu promise.,o ˈiu no ˈbade. ˈdʒibu ˈpwamas.,Aaxe e ni bana. Jibu ga-mo.,ˈaaʃe e ni ˈbana. ˈdʒibu ˈɡamo.,Ni ba gami! Jibu promise.,ni ba ˈɡami! ˈdʒibu ˈpwamas.,"A-no, ni no bother","ˈano, ni no ˈbade",Nie ba not bother. Jibu promise.,nie̯ ba nat ˈbade. ˈdʒibu ˈpwamas.
jibu_guest_they_interrupted_me,Jibu,We interrupt? Sorry sorry.,wi ˈinteapt? ˈsawi ˈsawi.,Ga la? Kikamie kikamie.,ɡa la? ˈkikamie̯ ˈkikamie̯.,Ga ba la? Sorry sorry.,ɡa ba la? ˈsawi ˈsawi.,La po-ta? Sorry sorry.,la ˈpota? ˈsawi ˈsawi.,Li ga-no Sorry sorry!,li ˈɡano ˈsawi ˈsawi!
jibu_guest_could_watch_all_day,Jibu,Please no watch that long. Embarrassing...,plis no watʃ dat lon. imˈbewasin...,Nixetu nie xina po-teb banada. Kika...,ˈniʃetu nie̯ ˈʃina ˈpoteb ˈbanada. ˈkika...,Nie ba xina tibana. Embarrassing...,nie̯ ba ˈʃina ˈtibana. imˈbewasin...,Nie ba la stop watch long,nie̯ ba la stap watʃ lon,Nie ba xa no watch long. Embarrassing.,nie̯ ba ʃa no watʃ lon. imˈbewasin.
jibu_guest_how_long_does_this_go_on,Jibu,We work all day.,wi wek ol dei̯.,Ga bexa med da bed,ɡa ˈbeʃa med da bed,Med da bed work!,med da bed wek!,Med bexa work all,med ˈbeʃa wek ol,Bexa we work all day,ˈbeʃa wi wek ol dei̯
jibu_guest_thats_my_favorite,Jibu,I hope I favorite but probably not.,ˈai hop ˈai ˈfei̯vei̯t bat ˈpwababli nat.,Banada mi ga bage abo ni eme.,ˈbanada mi ɡa ˈbaɡe ˈabo ni ˈeme.,Nie-ud ga-mo mi li favorite,ˈnie̯ud ˈɡamo mi li ˈfei̯vei̯t,"Nie gac-ud, I favorite maybe","nie̯ ˈɡakud, ˈai ˈfei̯vei̯t ˈmei̯bi","Ba-miga mi, maybe no favorite.","ˈbamiɡa mi, ˈmei̯bi no ˈfei̯vei̯t."
jibu_guest_workstations_messy,Jibu,Sorry we no clean in days.,ˈsawi wi no klin in dei̯s.,Kikamie med nie mopila beded!,ˈkikamie̯ med nie̯ ˈmopila ˈbeded!,"Sorry, nie la-no med","ˈsawi, nie̯ ˈlano med",Nie clean in days! Kikamie med.,nie̯ klin in dei̯s! ˈkikamie̯ med.,Kikamie med no clean in days,ˈkikamie̯ med no klin in dei̯s
jibu_guest_starfighter,Jibu,Maybe he visit shop? We fix fix his ship?,ˈmei̯bi hi ˈvisit ʃap? wi fiks fiks his ʃip?,Lo ba-ga ipo wapuma? Med ba moga moga ipo djoid-ipo?,lo ˈbaɡa ˈipo ˈwapuma? med ba ˈmoɡa ˈmoɡa ˈipo ˈdʒoi̯dipo?,Maybe he visit? Med ba moga moga da ship?,ˈmei̯bi hi ˈvisit? med ba ˈmoɡa ˈmoɡa da ʃip?,Ga-ka ba dosa? We fix fix ship?,ˈɡaka ba ˈdosa? wi fiks fiks ʃip?,Ka-mo maybe he visit shop? We fix fix ship?,ˈkamo ˈmei̯bi hi ˈvisit ʃap? wi fiks fiks ʃip?
jibu_guest_pin_trading,Jibu,Jibu no want. Pointy part ouchy.,ˈdʒibu no want. ˈpoi̯nti pat ˈautʃi.,Jibu! Miga-no ipo. Be-bi goda.,ˈdʒibu! ˈmiɡano ˈipo. ˈbebi ˈɡoda.,Jibu-ni miga! Pointy ouchy.,ˈdʒibuni ˈmiɡa! ˈpoi̯nti ˈautʃi.,Jibu ni miga. Pointy part ouchy.,ˈdʒibu ni ˈmiɡa. ˈpoi̯nti pat ˈautʃi.,Jibu ni want. Pointy part ouchy.,ˈdʒibu ni want. ˈpoi̯nti pat ˈautʃi.
jibu_guest_lots_of_guests,Jibu,Oh man. Hope I don't make a mistake...,o man. hop ˈai dont mei̯k a ˈmistei̯k...,A-o. Nie ga-no ni mi vado...,ˈao. nie̯ ˈɡano ni mi ˈvado...,A-a mamaga vado! No make!,ˈaa ˈmamaɡa ˈvado! no mei̯k!,Axe bo ni ga mi vado! Hope no mistake,aks bo ni ɡa mi ˈvado! hop no ˈmistei̯k,Aaxe. I hope no make mistake...,ˈaaʃe. ˈai hop no mei̯k ˈmistei̯k...
jibu_guest_only_one_person,Jibu,Glad nobody watching me.,ɡlad ˈnobadi ˈwatʃin mi.,Ipo ni xina mi ixena,ˈipo ni ˈʃina mi ˈiʃena,Nie ga mo mi wups,nie̯ ɡa mo mi wups,Nie gapa me watching!,nie̯ ˈɡapa mi ˈwatʃin!,Nie djoid no watching me,nie̯ dʒoi̯d no ˈwatʃin mi
jibu_guest_baby_crying,Jibu,Oh no. Little one SO sad.,o no. ˈlital wan so sad.,A-o. Anzabi ixixa-xina.,ˈao. ˈansabi iʃiˈʃaʃina.,Abo anzabi ni-xina SO sad,ˈabo ˈansabi ˈniʃina so sad,"A-a, nie ixena-va! SO sad.","ˈaa, nie̯ iˈʃenava! so sad.",Nie. Little one so sad.,nie̯. ˈlital wan so sad.
jibu_guest_adult_crying,Jibu,Crying bad bad. Jibu no like.,ˈkwaiin bad bad. ˈdʒibu no ˈlaik.,"Ba-no mi djoid bad bad. Nie, Jibu ni pilaxi!","ˈbano mi dʒoi̯d bad bad. nie̯, ˈdʒibu ni ˈpilaʃi!",Nie pilaxi! Ga-bano ni ni mi!,nie̯ ˈpilaʃi! ˈɡabano ni ni mi!,Ipo kiki kiki no like,ˈipo ˈkiki ˈkiki no ˈlaik,Ga-no biba bok bok. Jibu no like!,ˈɡano ˈbiba bok bok. ˈdʒibu no ˈlaik!
jibu_guest_yawning,Jibu,Long day for dem.,lon dei̯ ˈfoo dem.,Ga-da mi bed tib a ed,ˈɡada mi bed tib a ed,Tibana bedad for dem,ˈtibana ˈbedad ˈfoo dem,Bed-no long day,ˈbedno lon dei̯,Bed long day for dem,bed lon dei̯ ˈfoo dem
jibu_guest_sneezing,Jibu,Oh no Jibu can't get sick now!,o no ˈdʒibu kant ɡet sik ˈnau!,"a-o, Jibu ni ga-mo bumani bano!","ˈao, ˈdʒibu ni ˈɡamo ˈbumani ˈbano!",Nie ga ji bu! Can't sick!,nie̯ ɡa dʒi bu! kant sik!,Nie ba gima! Jibu can't sick now!,nie̯ ba ˈɡima! ˈdʒibu kant sik ˈnau!,Nie ba gima-no Jibu! no sick now!,nie̯ ba ˈɡimano ˈdʒibu! no sik ˈnau!
jibu_guest_shoes,Jibu,They wear to protect feetsies.,dei̯ ˈwee tu ˈpwatekt ˈfitsie̯s.,Ga ba-nie po-biba bo gima bexame,ɡa ˈbanie̯ ˈpobiba bo ˈɡima ˈbeʃame,Da muba ba bexa feetsies.,da ˈmuba ba ˈbeʃa ˈfitsie̯s.,Ga po-waba feetsies go fix,ɡa ˈpowaba ˈfitsie̯s ɡo fiks,Bexa da wabad xo ipo feetsies wear to protect,ˈbeʃa da ˈwabad ʃo ˈipo ˈfitsie̯s ˈwee tu ˈpwatekt
jibu_guest_haircut,Jibu,Me just happy we wear helmet.,mi dʒast ˈhapi wi ˈwee ˈhelmat.,"Ixa ba-mi, mi ipo xiba-pa","ˈiʃa ˈbami, mi ˈipo ˈʃibapa","Ipo ixa, med helmet good","ˈipo ˈiʃa, med ˈhelmat ɡud",Ipo ixa ga-mi helmet we wear,ˈipo ˈiʃa ˈɡami ˈhelmat wi ˈwee,"Ipo ixena, we wear helmet","ˈipo ˈiʃena, wi ˈwee ˈhelmat"
jibu_guest_lightsaber_unsheathed,Jibu,Jibu never thought he see one!,ˈdʒibu ˈneve tot hi si wan!,Niemo banada-no ipo xina ka!,ˈnie̯mo baˈnadano ˈipo ˈʃina ka!,Jibu niemo banada see one!,ˈdʒibu ˈnie̯mo ˈbanada si wan!,Niemo banada-no Jibu see one!,ˈnie̯mo baˈnadano ˈdʒibu si wan!,Nie ga-no Jibu no see one!,nie̯ ˈɡano ˈdʒibu no si wan!
jibu_guest_lightsaber_sheathed,Jibu,Ooh pretty color.,u ˈpwiti ˈkale.,Ooh. Momo kapa.,ˈooh. ˈmomo ˈkapa.,Ooh kapa color,u ˈkapa ˈkale,"Oh, kapa pretty color","o, ˈkapa ˈpwiti ˈkale",Momo color!,ˈmomo ˈkale!
jibu_guest_drinking,Jibu,Dey dwink so much. Hope it tasty.,dei̯ dwink so matʃ. hop it ˈtei̯sti.,Da banada ni udu. Miga ipo ixena.,da ˈbanada ni ˈudu. ˈmiɡa ˈipo ˈiʃena.,Ni ud bama da. Hope tasty.,ni ud ˈbama da. hop ˈtei̯sti.,Ga-udu banad ipo ixena. Hope it tasty.,ˈɡaudu ˈbanad ˈipo ˈiʃena. hop it ˈtei̯sti.,Bubanu udu. Hope it taste!,ˈbubanu ˈudu. hop it tei̯st!
jibu_guest_eating_chips,Jibu,Crunchy crunchy make Jibu hungry.,ˈkwantʃi ˈkwantʃi mei̯k ˈdʒibu ˈhanɡwi.,Dega-dega ga Jibu kipa,deˈɡadeɡa ɡa ˈdʒibu ˈkipa,Ga ga-no ipo hungry,ɡa ˈɡano ˈipo ˈhanɡwi,Bebede ipo! Make hungry!,ˈbebede ˈipo! mei̯k ˈhanɡwi!,ga Jibu make hungry hungry,ɡa ˈdʒibu mei̯k ˈhanɡwi ˈhanɡwi
jibu_guest_anzellan_on_clothing,Jibu,We on dey clothes. Embarrassing for Jibu...,wi an dei̯ klods. imˈbewasin ˈfoo ˈdʒibu...,Med a anzel-va. Kika ba Jibu.,med a ˈanselva. ˈkika ba ˈdʒibu.,Ket tumu-da anzel bad-a. Embarrassing Jibu.,ket ˈtumuda ˈansel ˈbada. imˈbewasin ˈdʒibu.,"Med ked baka, Embarrassing for Jibu...","med ked ˈbaka, imˈbewasin ˈfoo ˈdʒibu...",Med ket a-xena. Embarrassing for Jibu...,med ket ˈaʃena. imˈbewasin ˈfoo ˈdʒibu...
jibu_guest_journalist_questions,Jibu,Questions give Jibu headache.,ˈkwestʃans ɡiv ˈdʒibu ˈhedei̯k.,Li ba pama da banana-po o Jibu,li ba ˈpama da baˈnanapo o ˈdʒibu,La bana headache!,la ˈbana ˈhedei̯k!,"Djoid godi, headache Jibu","dʒoi̯d ˈɡodi, ˈhedei̯k ˈdʒibu",Banava headache give Jibu,ˈbanava ˈhedei̯k ɡiv ˈdʒibu
jibu_guest_eating_something,Jibu,They hungry. Me no snacky snacky like they are.,dei̯ ˈhanɡwi. mi no ˈsnaki ˈsnaki ˈlaik dei̯ ˈaa.,Ipo hena. Nie mi bana-nie banu banu le ipo-va ixa!,ˈipo ˈhena. nie̯ mi ˈbananie̯ ˈbanu ˈbanu le ˈipova ˈiʃa!,Mi ni bana-nie! Ket ipo-bana.,mi ni ˈbananie̯! ket iˈpobana.,Ket tumu-po muba! Me no snacky snacky,ket ˈtumupo ˈmuba! mi no ˈsnaki ˈsnaki,Buma ipo they hungry. Me no snacky snacky.,ˈbuma ˈipo dei̯ ˈhanɡwi. mi no ˈsnaki ˈsnaki.
jibu_guest_asks_name,Jibu,Me Jibu. Dis my brother Kado. Our boss Vilo up der. You have name name?,mi ˈdʒibu. dis ˈmai ˈbwade ˈkado. ˈaue bas ˈvilo ap de. ˈiu hav nei̯m nei̯m?,Mi Jibu. Ked-ba da dega Kado. Dega med Vilo na-ta. E buma nima nima?,mi ˈdʒibu. ˈkedba da ˈdeɡa ˈkado. ˈdeɡa med ˈvilo ˈnata. e ˈbuma ˈnima ˈnima?,Mi da Jibu. Dega Vilo wa ked-ba. You have name name?,mi da ˈdʒibu. ˈdeɡa ˈvilo wa ˈkedba. ˈiu hav nei̯m nei̯m?,Me Jibu. Dis my brother Kado. Mi ipo Jibu.,mi ˈdʒibu. dis ˈmai ˈbwade ˈkado. mi ˈipo ˈdʒibu.,Mi ipo Jibu. This my brother Kado. Our boss Vilo way up there. You got name name?,mi ˈipo ˈdʒibu. dis ˈmai ˈbwade ˈkado. ˈaue bas ˈvilo wei̯ ap ˈdee. ˈiu ɡat nei̯m nei̯m?
jibu_guest_asks_world,Jibu,We from Corellia. Jibu miss sometimes. What world you from?,wi fwam koˈwellia. ˈdʒibu mis ˈsamtaims. wat weld ˈiu fwam?,Med fa Corellia. Jibu bana-mi lemo. Li fa ede po timad?,med fa koˈwellia. ˈdʒibu ˈbanami ˈlemo. li fa ˈede po ˈtimad?,Med fa Corellia. Li ba fa mi? Jibu miss.,med fa koˈwellia. li ba fa mi? ˈdʒibu mis.,We from Corellia. Jibu miss sometimes. What world you from?,wi fwam koˈwellia. ˈdʒibu mis ˈsamtaims. wat weld ˈiu fwam?,Med fa Corellia. Jibu miss sometimes. What world you from?,med fa koˈwellia. ˈdʒibu mis ˈsamtaims. wat weld ˈiu fwam?
jibu_guest_asks_species,Jibu,"Oh, we Anzellan. Jibu no mean rude, but what species are you?","o, wi ˈansellan. ˈdʒibu no min wud, bat wat ˈspiʃis ˈaa ˈiu?","Aaxe, med anzabi. Jibu ga-no ni gode, le li ipo-va ixena ga?","ˈaaʃe, med ˈansabi. ˈdʒibu ˈɡano ni ˈɡode, le li ˈipova ˈiʃena ɡa?","Jibu no mean rude, med anzellan. Bana ipo-va?","ˈdʒibu no min wud, med ˈansellan. ˈbana ˈipova?","Jibu no mean rude, med anzellan. Bana ipo?","ˈdʒibu no min wud, med ˈansellan. ˈbana ˈipo?","A-a med anzabi Anzellan. Jibu no mean rude, but what species are you?","ˈaa med ˈansabi ˈansellan. ˈdʒibu no min wud, bat wat ˈspiʃis ˈaa ˈiu?"
jibu_guest_what_doing,Jibu,We fixey dwoids. What you do?,wi ˈfiksei̯ dwoi̯ds. wat ˈiu du?,"Ba mo mi ba moga da djoid, li ga-mi e ipo?","ba mo mi ba ˈmoɡa da dʒoi̯d, li ˈɡami e ˈipo?",Ba moga med djoid. What do?,ba ˈmoɡa med dʒoi̯d. wat du?,We fixey dwoids. Li ga-no e?,wi ˈfiksei̯ dwoi̯ds. li ˈɡano e?,Ba moga droids we do?,ba ˈmoɡa dwoi̯ds wi du?
jibu_guest_knows_luke,Jibu,"Sorry, no heard name.","ˈsawi, no hed nei̯m.","Kikamie, nie hena da ka","ˈkikamie̯, nie̯ ˈhena da ka",Nie hena name! Sorry,nie̯ ˈhena nei̯m! ˈsawi,"Nie hena, no heard!","nie̯ ˈhena, no hed!",Kikamie no heard name,ˈkikamie̯ no hed nei̯m
jibu_guest_knows_vader,Jibu,Jibu no meet them. Sorry.,ˈdʒibu no mit dem. ˈsawi.,Jibu ga-no la djoid-po. Kikamie.,ˈdʒibu ˈɡano la ˈdʒoi̯dpo. ˈkikamie̯.,"Jibu ga-no po-eda, sorry.","ˈdʒibu ˈɡano ˈpoeda, ˈsawi.",Ni ipo! Sorry!,ni ˈipo! ˈsawi!,"Ni hena da ipo, Jibu no meet them.","ni ˈhena da ˈipo, ˈdʒibu no mit dem."
jibu_guest_looking_at_them,Jibu,You catch our attention. Why you watch us work?,ˈiu katʃ ˈaue ˈatenʃan. ˈwai ˈiu watʃ as wek?,Ga-gapa mi-va po pilaxi med ba bexa. Li e-po xina med ba bexa?,ˈɡaɡapa ˈmiva po ˈpilaʃi med ba ˈbeʃa. li ˈepo ˈʃina med ba ˈbeʃa?,You catch! E-po nime ga miga?,ˈiu katʃ! ˈepo ˈnime ɡa ˈmiɡa?,You catch! E ga pama meded,ˈiu katʃ! e ɡa ˈpama ˈmeded,E gapa. Why you watch us work?,e ˈɡapa. ˈwai ˈiu watʃ as wek?
jibu_guest_asks_fun,Jibu,Fixey toys fun!,ˈfiksei̯ toi̯s fan!,Ba moga da wabad ixena!,ba ˈmoɡa da ˈwabad ˈiʃena!,Ba moga toys!,ba ˈmoɡa toi̯s!,Ba moga toys fun!,ba ˈmoɡa toi̯s fan!,Ba moga toys fun!,ba ˈmoɡa toi̯s fan!
